,Labour,% point proximity to final result,Conservative,% point proximity to final result,Lib Dems (Liberal/SDP in '87),% point proximity to final result,average accuracy,Other,Poll Date,"research: James Key, David McCandless, Cal Flyn http://www.informationisbeautiful.net"
2010 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,28,1,39,-2.9,20,3,2.313333333,14,5-7 May 2010,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
6 Months,29,0,42,-5.9,19,4,3.3,10,13-15 November 2010,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
3 Months,29,0,40,-3.9,21,2,1.966666667,10,22-24 January 2010,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Month,33,-4,37,-0.9,21,2,2.3,9,1-3 April 2010,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Week,28,1,33,3.1,28,-5,3.033333333,12,30 April - 2 May 2010,http://spreadsheets1.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Day,28,1,36,0.1,26,-3,1.366666667,10,3-4 May 2010,http://spreadsheets1.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
,,,,,,,,,,
AVERAGE,29,,38,,23,,,,,
,,,,,,,,,,
Actual Share of Vote,29.00,,36.10,,23.00,,,12,6 May 2010,http://news.bbc.co.uk/1/shared/election2010/results/
Actual Number of Seats,258,,306,,57,,,14,6 May 2010,http://news.bbc.co.uk/1/shared/election2010/results/
Actual Share of Seats,39.69%,,47.08%,,8.77%,,,2.15%,6 May 2010,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2005 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,37,0.8,33,-0.2,21,-1.6,0.87,8,20-23 May 2004,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
6 Months,38,1.8,30,-3.2,22,-0.6,1.87,10,12-14 November 2004,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
3 Months,38,1.8,32,-1.2,21,-1.6,1.53,9,21-23 January 2005,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Month,37,0.8,34,0.8,21,-1.6,1.07,8,1-3 April 2005,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Week,40,3.8,33,-0.2,20,-2.6,2.20,7,24-26 April 2005,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Day,38,1.8,32,-1.2,22,-0.6,1.20,8,1-3 May 2005,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
,,,,,,,,,,
AVERAGE,38,1.8,32.33,-0.7,21.17,-1.6,,,,
