,Labour,"accuracy% point proximity to final result
",Conservative,% point proximity to final result,Lib Dems (Liberal/SDP in '87),% point proximity to final result,average accuracy,Other,Poll Date,Source
2010 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,28,,41,,22,,,9,17-19 April 2009,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
6 Months,31,,37,,19,,,13,13-15 Nov 2009,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
3 Months,32,,40,,16,,,12,26-28 Jan 2010,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
1 Month,30,,35,,21,,,14,19-21 March 2010,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
1 Week,,,,,,,,,,
1 Day,,,,,,,,,,
,,,,,,,,,,
AVERAGE,30,,38,,20,,,,,
,,,,,,,,,,
Actual Share of Vote,,,,,,,,,6 May 2010,
Actual Number of Seats,,,,,,,,,6 May 2010,
Actual Share of Seats,,,,,,,,,6 May 2010,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2005 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,36,-0.2,34,0.8,22,-0.6,0.53,8,15-19 April 2004,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
6 Months,35,-1.2,31,-2.2,23,0.4,1.27,11,4-8 Nov 2004,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
3 Months,38,1.8,32,-1.2,22,-0.6,1.20,8,20-24 Jan 2005,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
1 Month,34,-2.2,39,5.8,21,-1.6,3.20,6,1-3 April 2005,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
1 Week,39,2.8,29,-4.2,22,-0.6,2.53,10,28-29 April 2005,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
1 Day,38,1.8,33,-0.2,23,0.4,0.80,6,3-4 May 2005,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=107&view=wide
,,,,,,,,,,
AVERAGE,36.67,0.8,33.00,-0.7,22.17,-0.6,,,,
,,,,,,,,,,
Actual Share of Vote,36.2,,33.2,,22.6,,,8,05/05/2005,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,356,,198,,62,,,30,05/05/2005,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2005"
Actual Share of Seats,55.11%,,30.65%,,9.60%,,,4.64%,05/05/2005,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2005"
