,Labour,"accuracy% point proximity to final result
",Conservative,"accuracy% point proximity to final result
",Lib Dems (Liberal/SDP in '87),"accuracy% point proximity to final result
",Other,Poll Date,Source
2010 Election,,,,,,,,,
,,,,,,,,,
1 Year,26,,39,,22,,13,May 6-8 2009,http://populus.co.uk/the-times-times-poll-may-2009-080509.html
6 Months,29,,39,,18,,14,Nov 6-8 2009,http://populus.co.uk/the-times-the-times-poll-november-2009-081109.html
3 Months,30,,40,,20,,10,Feb 5-7 2010,http://populus.co.uk/the-times-the-times-poll-february-2010-070210.html
1 Month,32,,37,,19,,12,April 6-7 2010,http://timesonline.typepad.com/election10/2010/04/peter-riddell---opinion-polls-can-become-obsessive-every-night-the-latest-batch-of-polls-is-seized-upon-eagerly-by-politicia.html
1 Week,,,,,,,,,
1 Day,,,,,,,,,
,,,,,,,,,
AVERAGE,29.25,,38.75,,19.75,,,,
,,,,,,,,,
Actual Share of Vote,,,,,,,,6 May 2010,
Actual Number of Seats,,,,,,,,6 May 2010,
Actual Share of Seats,,,,,,,,6 May 2010,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2005 Election,,,,,,,,,
,,,,,,,,,
1 Year,32,-4.2,36,2.8,22,-0.6,10,May 7 -9 2004,http://populus.co.uk/the-times-political-attitudes-090504.html
6 Months,34,-2.2,33,-0.2,22,-0.6,11,Nov 5-7 2004,http://populus.co.uk/the-times-political-attitudes-071104.html
3 Months,41,4.8,32,-1.2,18,-4.6,9,Feb 4-6 2005,http://populus.co.uk/the-times-political-attitudes-060205.html
1 Month,37,0.8,35,1.8,19,-3.6,9,April 1-3 2005,http://populus.co.uk/the-times-political-attitudes-030405.html
1 Week,40,3.8,31,-2.2,22,-0.6,7,April 26-29 2005,http://populus.co.uk/the-times-general-election-daily-tracker-290405.html
1 Day,37.9,1.7,31.7,-1.5,21.4,-1.2,9,May 2-3 2005,http://populus.co.uk/the-times-political-attitudes-final-election-poll-030505.html
,,,,,,,,,
AVERAGE,36.98,1.25,33.12,-0.7,20.73,-0.9,,,
,,,,,,,,,
Actual Share of Vote,36.2,,33.2,,22.6,,8,05/05/2005,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,356,,198,,62,,30,05/05/2005,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2005"
Actual Share of Seats,55.11%,,30.65%,,9.60%,,4.64%,05/05/2005,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2005"
