Publisher,Year,Date,Client,LAB,CON,LIBDEM,OTHER,LABLEAD
you-gov,2010,April 11-12,The Sun,33,39,20,8,-6
you-gov,2010,April 10-11,The Sun,32,37,20,12,-5
you-gov,2010,April 9-10,Sunday Times,32,40,18,10,-8
you-gov,2010,April 8-9,The Sun,30,40,20,9,-10
you-gov,2010,April 7-8,The Sun,31,40,18,11,-9
you-gov,2010,April 6-7,The Sun,32,37,19,12,-5
you-gov,2010,April 5-6,The Sun,32,40,17,11,-8
you-gov,2010,April 4-5,The Sun,31,41,18,11,-10
you-gov,2010,April 1-2,Sunday Times,29,39,20,12,-10
you-gov,2010,April 1-1,The Sun,31,39,19,11,-8
you-gov,2010,March 30-31,The Sun,32,38,19,11,-6
you-gov,2010,March 29-30,The Sun,31,38,19,12,-7
you-gov,2010,March 28-29,The Sun,32,39,18,11,-7
you-gov,2010,March 25-26,Sunday Times,32,37,19,13,-5
you-gov,2010,March 24-25,The Sun,33,37,18,12,-4
you-gov,2010,March 23-24,The Sun,34,36,17,13,-2
you-gov,2010,March 22- 23,The Sun,33,37,18,12,-4
you-gov,2010,March 21-22,The Sun,32,36,20,12,-4
you-gov,2010,March 18-19,Sunday Times,31,38,19,13,-7
you-gov,2010,March 17-18,The Sun,32,36,20,12,-4
you-gov,2010,March 16-17,The Sun,32,36,20,11,-4
you-gov,2010,March 15-16,The Sun,32,37,19,12,-5
you-gov,2010,March 14-15,The Sun,32,37,21,10,-5
you-gov,2010,March 11-12,Sunday Times,33,37,17,13,-4
you-gov,2010,March 10-11,The Sun,34,37,17,12,-3
you-gov,2010,March 9-10,The Sun,32,37,17,14,-5
you-gov,2010,March 8-9,The Sun,32,36,20,12,-4
you-gov,2010,March 7-8,The Sun,34,39,16,11,-5
you-gov,2010,March 4-5,Sunday Times,33,38,17,12,-5
you-gov,2010,March 3-4,The Sun,32,38,17,13,-6
you-gov,2010,March 2-3,The Sun,32,38,19,12,-6
you-gov,2010,March 1-2,The Sun,33,38,16,13,-5
you-gov,2010,March 1-1,The Sun,32,39,17,12,-7
you-gov,2010,February 25-26,Sunday Times,35,37,17,11,-2
you-gov,2010,February 24-25,The Sun,33,39,16,12,-6
you-gov,2010,February 23-24,The Sun,32,38,19,10,-6
you-gov,2010,February 22-23,The Sun,32,38,17,12,-6
you-gov,2010,February 21-22,The Sun,33,39,17,12,-6
you-gov,2010,February 18-19,Sunday Times,33,39,17,11,-6
you-gov,2010,February 17-18,The Sun,32,39,18,11,-7
you-gov,2010,February 16-17,The Sun,30,39,18,13,-9
you-gov,2010,January 28-29,Daily Telegraph,31,38,19,12,-7
you-gov,2010,January 14-15,Sunday Times,31,40,18,11,-9
you-gov,2010,January 6-7,The Sun,30,42,16,12,-12
you-gov,2010,January 5-6,The Sun,31,40,17,12,-9
you-gov,2009,December 29-30,Daily Telegraph,30,40,17,12,-10
you-gov,2009,December 15-17,Sunday People,28,40,18,14,-12
you-gov,2009,December 10-11,Sunday Times,31,40,16,13,-9
you-gov,2009,December 3-4,Sunday Times,27,40,18,15,-13
you-gov,2009,November 24 - 26,Daily Telegraph,29,39,19,13,-10
you-gov,2009,November 12 -13,Sunday Times,27,41,18,14,-14
you-gov,2009,October 27 - 29,Daily Telegraph,28,41,16,15,-13
you-gov,2009,October 15-16,Sunday Times,30,41,17,12,-11
you-gov,2009,October 8-9,The Sun,28,42,18,12,-14
you-gov,2009,September 22-24,Daily Telegraph,26,39,20,15,-13
you-gov,2009,September 10-11,Sunday Times,27,41,17,15,-14
you-gov,2009,September 4-6,Daily Telegraph,27,40,18,15,-13
you-gov,2009,August 27-28,The Sun,28,42,17,14,-14
you-gov,2009,August 25-27,Daily Telegraph,26,42,18,14,-16
you-gov,2009,August 13-14,Sunday Times,28,42,18,13,-14
you-gov,2009,July 28-30,Daily Telegraph,27,41,18,15,-14
you-gov,2009,July 21-23,The People,25,40,20,16,-15
you-gov,2009,July 16-17,Sunday Times,25,42,18,15,-17
you-gov,2009,June 24-26,The People,24,40,17,19,-16
you-gov,2009,June 23-25,Daily Telegraph,25,38,18,19,-13
you-gov,2009,June 11-12,Sunday Times,24,40,18,19,-16
you-gov,2009,June 2-3,Daily Telegraph,21,37,19,23,-16
you-gov,2009,May 27-29,Daily Telegraph,22,39,18,21,-17
you-gov,2009,May 14-16,Daily Telegraph,23,39,19,19,-16
you-gov,2009,May 13-14,The Sun,22,41,19,18,-19
you-gov,2009,May 7-8,Sunday Times,27,43,18,12,-16
you-gov,2009,April 22-23,Daily Telegraph,27,45,18,10,-18
you-gov,2009,April 3-4,Sunday Times,34,41,16,10,-7
you-gov,2009,March 24-26,Daily Telegraph,31,41,17,11,-10
you-gov,2009,March 12-13,Sunday Times,31,41,17,11,-10
you-gov,2009,February 24-26,Daily Telegraph,31,41,15,12,-10
you-gov,2009,February 12-13,Sunday Times,32,44,14,10,-12
you-gov,2009,January 27-29,Daily Telegraph,32,43,16,10,-11
you-gov,2009,January 15-16,Sunday Times,32,45,14,9,-13
you-gov,2009,January 7-8,The Sun,34,41,15,10,-7
you-gov,2008,December 16-18,Daily Telegraph,35,42,14,9,-7
you-gov,2008,December 11-12,Sunday Times,35,41,15,10,-6
you-gov,2008,November 24-25,Daily Telegraph,36,40,14,10,-4
you-gov,2008,November 13-14,Sunday Times,36,41,14,10,-5
you-gov,2008,October 27-29,Daily Telegraph,33,42,15,10,-9
you-gov,2008,October 9-10,Sunday Times,33,43,14,10,-10
you-gov,2008,October 1-3,Daily Telegraph,31,45,15,9,-14
you-gov,2008,September 23-24,The Sun,31,41,16,12,-10
you-gov,2008,September 17-19,Daily Telegraph,24,44,20,12,-20
you-gov,2008,September 10-12,Sunday Times,27,46,16,11,-19
you-gov,2008,August 26-27,Daily Telegraph,26,45,16,13,-19
you-gov,2008,August 14-15,Sunday Times,25,45,18,12,-20
you-gov,2008,July 29-31,Daily Telegraph,25,47,16,12,-22
you-gov,2008,July 23-25,Daily Telegraph,26,45,17,12,-19
you-gov,2008,July 10-11,Sunday Times,25,47,16,12,-22
you-gov,2008,June 23-25,Daily Telegraph,28,46,15,11,-18
you-gov,2008,June 12-13,Sunday Times,25,47,18,10,-22
you-gov,2008,May 27-29,Daily Telegraph,23,47,18,12,-24
you-gov,2008,May 15-16,Sunday Times,25,45,18,12,-20
you-gov,2008,May 7-9,The Sun,23,49,17,11,-26
you-gov,2008,April 21-23,Daily Telegraph,26,44,17,13,-18
you-gov,2008,April 10-11,Sunday Times,28,44,17,11,-16
you-gov,2008,March 25-27,Daily Telegraph,29,43,17,11,-14
you-gov,2008,March 13-14,Sunday Times,27,43,16,13,-16
you-gov,2008,February 25-27,Daily Telegraph,33,40,16,11,-7
you-gov,2008,February 18-20,Economist,34,40,16,10,-6
you-gov,2008,February 14-15,Sunday Times,32,41,16,11,-9
you-gov,2008,January 21-23,Daily Telegraph,33,41,16,10,-8
you-gov,2008,January 10-11,Sunday Times,33,43,14,11,-10
you-gov,2007,December 20-27,Sunday Times,35,40,15,10,-5
you-gov,2007,December 17-19,Daily Telegraph,31,43,16,11,-12
you-gov,2007,December 13-14,Sunday Times,32,45,14,10,-13
you-gov,2007,November 26-29,Daily Telegraph,32,43,14,11,-11
you-gov,2007,November 21-22,Channel 4 News,32,41,14,13,-9
you-gov,2007,November 14-16,Sunday Times,35,41,13,11,-6
you-gov,2007,October 6-7,Sunday Times,38,41,11,10,-3
you-gov,2007,October 3-4,Channel 4 News,40,36,13,11,4
you-gov,2007,September 26-28,Daily Telegraph,43,32,15,10,11
you-gov,2007,September 24-25,Channel 4 News,44,33,13,10,11
you-gov,2007,September 19-21,Daily Telegraph,39,33,16,12,6
you-gov,2007,September 13-14,Sunday Times,39,34,15,12,5
you-gov,2007,August 29-31,GMTV,38,35,15,12,3
you-gov,2007,August 24-28,Daily Telegraph,41,33,14,12,8
you-gov,2007,August 9-10,Sunday Times,42,32,14,12,10
you-gov,2007,July 23-25,Daily Telegraph,41,32,16,11,9
you-gov,2007,July 19-20,Sunday Times,40,33,15,12,7
you-gov,2007,June 28-29,Daily Telegraph,38,35,15,12,3
you-gov,2007,June 14-15,Sunday Times,35,37,14,14,-2
you-gov,2007,May 21-23,Daily Telegraph,33,39,15,13,-6
you-gov,2007,March 10-11,Sunday Times,34,38,15,14,-4
you-gov,2007,April 24-26,Daily Telegraph,32,37,18,14,-5
you-gov,2007,April 4-5,Sunday Times,31,39,16,14,-8
you-gov,2007,March 26-28,Daily Telegraph,32,39,17,13,-7
you-gov,2007,March 21-22,Daily Telegraph,31,39,16,14,-8
you-gov,2007,March 15-16,Sunday Times,32,38,16,14,-6
you-gov,2007,February 19-21,Daily Telegraph,32,37,17,14,-5
you-gov,2007,February 8-9,Sunday Times,32,37,18,14,-5
you-gov,2007,January 22-24,Daily Telegraph,31,38,18,13,-7
you-gov,2006,December 20-22,Sunday Times,32,37,15,15,-5
you-gov,2006,December 18-20,Daily Telegraph,33,37,17,13,-4
you-gov,2006,November 28-30,Daily Telegraph,32,37,16,15,-5
you-gov,2006,October 24-26,Daily Telegraph,32,39,16,13,-7
you-gov,2006,September 27-29,Daily Telegraph,36,36,16,12,0
you-gov,2006,September 21-22,Sunday Times,33,37,18,12,-4
you-gov,2006,September 19-22,Daily Telegraph,31,38,18,13,-7
you-gov,2006,September 13-14,The Sun,31,38,18,14,-7
you-gov,2006,September 6-7,Daily Telegraph,32,40,17,11,-8
you-gov,2006,August 22-24,Daily Telegraph,31,38,18,13,-7
you-gov,2006,July 24-26,Daily Telegraph,33,38,18,11,-5
you-gov,2006,June 26-28,Daily Telegraph,33,39,18,10,-6
you-gov,2006,June 21-23,Daily Telegraph,32,39,17,12,-7
you-gov,2006,May 23-25,Daily Telegraph,32,38,16,14,-6
you-gov,2006,May 8-9,Daily Telegraph,31,37,15,15,-6
you-gov,2006,April 27-28,Sunday Times,32,35,18,15,-3
you-gov,2006,April 18-20,Daily Telegraph,35,33,17,15,2
you-gov,2006,March 28-29,Daily Telegraph,36,36,18,10,0
you-gov,2006,March 16-17,Sunday Times,35,38,19,8,-3
you-gov,2006,February 21-22,Daily Telegraph,36,38,18,9,-2
you-gov,2006,February 9-10,Sunday Times,39,37,15,10,2
you-gov,2006,January 24-26,Daily Telegraph,40,39,13,9,1
you-gov,2005,December 15-18,Daily Telegraph,36,38,18,8,-2
you-gov,2005,December 6-9,Sunday Times,36,37,18,9,-1
you-gov,2005,December 5-6,Sky News,36,36,18,10,0
you-gov,2005,November 22-24,Daily Telegraph,37,35,20,8,2
you-gov,2005,October 25-27,Daily Telegraph,40,32,19,9,8
you-gov,2005,September 27-29,Daily Telegraph,40,32,20,9,8
you-gov,2005,September 8-9,Sunday Times,37,32,21,10,5
you-gov,2005,August 19-24,Daily Telegraph,40,33,20,7,7
you-gov,2005,July 26-28,Daily Telegraph,40,31,21,8,9
you-gov,2005,June 28-30,Daily Telegraph,38,33,20,9,5
