Election,Publisher,Date,Client,LAB,CON,LIBDEM,OTHER,LABLEAD
general_2010,you-gov,2005-06-30,Daily Telegraph,38,33,20,9,5
general_2010,you-gov,2005-07-28,Daily Telegraph,40,31,21,8,9
general_2010,you-gov,2005-08-24,Daily Telegraph,40,33,20,7,7
general_2010,you-gov,2005-09-9,Sunday Times,37,32,21,10,5
general_2010,you-gov,2005-09-29,Daily Telegraph,40,32,20,9,8
general_2010,you-gov,2005-10-27,Daily Telegraph,40,32,19,9,8
general_2010,you-gov,2005-11-24,Daily Telegraph,37,35,20,8,2
general_2010,you-gov,2005-12-6,Sky News,36,36,18,10,0
general_2010,you-gov,2005-12-9,Sunday Times,36,37,18,9,-1
general_2010,you-gov,2005-12-18,Daily Telegraph,36,38,18,8,-2
general_2010,you-gov,2006-01-26,Daily Telegraph,40,39,13,9,1
general_2010,you-gov,2006-02-10,Sunday Times,39,37,15,10,2
general_2010,you-gov,2006-02-22,Daily Telegraph,36,38,18,9,-2
general_2010,you-gov,2006-03-17,Sunday Times,35,38,19,8,-3
general_2010,you-gov,2006-03-29,Daily Telegraph,36,36,18,10,0
general_2010,you-gov,2006-04-20,Daily Telegraph,35,33,17,15,2
general_2010,you-gov,2006-04-28,Sunday Times,32,35,18,15,-3
general_2010,you-gov,2006-05-9,Daily Telegraph,31,37,15,15,-6
general_2010,you-gov,2006-05-25,Daily Telegraph,32,38,16,14,-6
general_2010,you-gov,2006-06-23,Daily Telegraph,32,39,17,12,-7
general_2010,you-gov,2006-06-28,Daily Telegraph,33,39,18,10,-6
general_2010,you-gov,2006-07-26,Daily Telegraph,33,38,18,11,-5
general_2010,you-gov,2006-08-24,Daily Telegraph,31,38,18,13,-7
general_2010,you-gov,2006-09-7,Daily Telegraph,32,40,17,11,-8
general_2010,you-gov,2006-09-14,The Sun,31,38,18,14,-7
general_2010,you-gov,2006-09-22,Daily Telegraph,31,38,18,13,-7
general_2010,you-gov,2006-09-22,Sunday Times,33,37,18,12,-4
general_2010,you-gov,2006-09-29,Daily Telegraph,36,36,16,12,0
general_2010,you-gov,2006-10-26,Daily Telegraph,32,39,16,13,-7
general_2010,you-gov,2006-11-30,Daily Telegraph,32,37,16,15,-5
general_2010,you-gov,2006-12-20,Daily Telegraph,33,37,17,13,-4
general_2010,you-gov,2006-12-22,Sunday Times,32,37,15,15,-5
general_2010,you-gov,2007-01-24,Daily Telegraph,31,38,18,13,-7
general_2010,you-gov,2007-02-9,Sunday Times,32,37,18,14,-5
general_2010,you-gov,2007-02-21,Daily Telegraph,32,37,17,14,-5
general_2010,you-gov,2007-03-16,Sunday Times,32,38,16,14,-6
general_2010,you-gov,2007-03-22,Daily Telegraph,31,39,16,14,-8
general_2010,you-gov,2007-03-28,Daily Telegraph,32,39,17,13,-7
general_2010,you-gov,2007-04-5,Sunday Times,31,39,16,14,-8
general_2010,you-gov,2007-04-26,Daily Telegraph,32,37,18,14,-5
general_2010,you-gov,2007-03-11,Sunday Times,34,38,15,14,-4
general_2010,you-gov,2007-05-23,Daily Telegraph,33,39,15,13,-6
general_2010,you-gov,2007-06-15,Sunday Times,35,37,14,14,-2
general_2010,you-gov,2007-06-29,Daily Telegraph,38,35,15,12,3
general_2010,you-gov,2007-07-20,Sunday Times,40,33,15,12,7
general_2010,you-gov,2007-07-25,Daily Telegraph,41,32,16,11,9
general_2010,you-gov,2007-08-10,Sunday Times,42,32,14,12,10
general_2010,you-gov,2007-08-28,Daily Telegraph,41,33,14,12,8
general_2010,you-gov,2007-08-31,GMTV,38,35,15,12,3
general_2010,you-gov,2007-09-14,Sunday Times,39,34,15,12,5
general_2010,you-gov,2007-09-21,Daily Telegraph,39,33,16,12,6
general_2010,you-gov,2007-09-25,Channel 4 News,44,33,13,10,11
general_2010,you-gov,2007-09-28,Daily Telegraph,43,32,15,10,11
general_2010,you-gov,2007-10-4,Channel 4 News,40,36,13,11,4
general_2010,you-gov,2007-10-7,Sunday Times,38,41,11,10,-3
general_2010,you-gov,2007-11-16,Sunday Times,35,41,13,11,-6
general_2010,you-gov,2007-11-22,Channel 4 News,32,41,14,13,-9
general_2010,you-gov,2007-11-29,Daily Telegraph,32,43,14,11,-11
general_2010,you-gov,2007-12-14,Sunday Times,32,45,14,10,-13
general_2010,you-gov,2007-12-19,Daily Telegraph,31,43,16,11,-12
general_2010,you-gov,2007-12-27,Sunday Times,35,40,15,10,-5
general_2010,you-gov,2008-01-11,Sunday Times,33,43,14,11,-10
general_2010,you-gov,2008-01-23,Daily Telegraph,33,41,16,10,-8
