date,CON,LAB,LIB DEM,OTHER
1984-06-15,0.37,0.38,0.23,0.02
1984-07-15,0.34,0.39,0.26,0.01
1984-08-15,0.36,0.39,0.24,0.01
1984-09-15,0.39,0.38,0.21,0.02
1984-10-15,0.38,0.36,0.24,0.02
1984-11-15,0.42,0.33,0.24,0.01
1984-12-15,0.41,0.32,0.26,0.01
1985-01-15,0.41,0.33,0.25,0.01
1985-02-15,0.38,0.36,0.25,0.01
1985-03-15,0.36,0.36,0.27,0.01
1985-04-15,0.33,0.38,0.28,0.01
1985-05-15,0.29,0.34,0.35,0.01
1985-06-15,0.31,0.36,0.32,0.01
1985-07-15,0.31,0.34,0.33,0.02
1985-08-15,0.31,0.36,0.31,0.02
1985-09-15,0.31,0.32,0.36,0.01
1985-10-15,0.32,0.34,0.32,0.02
1985-11-15,0.34,0.35,0.28,0.02
1985-12-15,0.35,0.33,0.3,0.02
1986-01-15,0.29,0.36,0.33,0.02
1986-02-15,0.27,0.36,0.35,0.03
1986-03-15,0.32,0.36,0.31,0.02
1986-04-15,0.32,0.35,0.3,0.03
1986-05-15,0.28,0.39,0.3,0.03
1986-06-15,0.33,0.39,0.26,0.02
1986-07-15,0.31,0.38,0.28,0.03
1986-08-15,0.32,0.38,0.27,0.03
1986-09-15,0.34,0.4,0.24,0.02
1986-10-15,0.36,0.39,0.24,0.02
1986-11-14,0.38,0.36,0.23,0.02
1986-12-14,0.39,0.38,0.21,0.02
1987-01-14,0.38,0.36,0.23,0.03
1987-02-13,0.38,0.35,0.24,0.02
1987-03-16,0.38,0.32,0.27,0.03
1987-04-15,0.38,0.32,0.27,0.03
1987-05-16,0.43,0.29,0.25,0.03
1987-05-21,0.41,0.33,0.21,0.05
1987-05-28,0.44,0.32,0.21,0.03
1987-04-06,0.44,0.34,0.2,0.02
1987-08-06,0.45,0.32,0.21,0.02
1987-10-06,0.42,0.35,0.21,0.02
1987-11-06,0.43,0.32,0.23,0.02
1987-10-15,0.45,0.39,0.13,0.03
1987-12-15,0.47,0.37,0.13,0.03
1988-01-15,0.42,0.4,0.17,0.02
1988-02-15,0.43,0.43,0.14,0.01
1988-03-15,0.45,0.41,0.12,0.02
1988-04-15,0.43,0.42,0.12,0.02
1988-05-15,0.44,0.42,0.11,0.03
1988-06-15,0.47,0.42,0.09,0.02
1988-07-15,0.45,0.43,0.09,0.03
1988-08-15,0.45,0.41,0.11,0.03
1988-09-15,0.42,0.44,0.12,0.02
1988-10-15,0.44,0.4,0.13,0.04
1988-11-15,0.42,0.42,0.13,0.03
1988-12-15,0.45,0.39,0.12,0.04
1989-01-16,0.44,0.4,0.11,0.04
1989-11-02,0.42,0.39,0.14,0.04
1989-03-13,0.42,0.41,0.14,0.04
1989-08-04,0.44,0.4,0.13,0.04
1989-05-13,0.43,0.43,0.11,0.03
1989-10-06,0.38,0.42,0.11,0.09
1989-08-07,0.38,0.42,0.1,0.11
1989-12-08,0.37,0.45,0.09,0.09
1989-09-09,0.38,0.46,0.06,0.1
1989-07-10,0.39,0.49,0.06,0.07
1989-07-11,0.36,0.49,0.09,0.06
1989-08-12,0.37,0.49,0.08,0.06
1990-12-01,0.38,0.47,0.08,0.07
1990-06-02,0.36,0.51,0.06,0.05
1990-09-04,0.31,0.52,0.09,0.08
1990-07-04,0.32,0.56,0.06,0.06
1990-12-05,0.32,0.5,0.13,0.06
1990-09-06,0.35,0.54,0.05,0.06
1990-07-07,0.35,0.51,0.08,0.05
1990-11-08,0.38,0.49,0.09,0.04
1990-08-09,0.37,0.5,0.08,0.06
1990-10-13,0.36,0.49,0.09,0.07
1990-10-11,0.33,0.49,0.13,0.05
1990-08-12,0.45,0.43,0.09,0.03
